icao24,firstseen,takeofftime,lastseen,landingtime,callsign,estdepartureairport,airportofdeparture,estarrivalairport,airportofdestination,model, typecode, registration
71bf89,1662034751.0,,1662043756,,ASV527  ,RKSI,,,,A321 231,A321,HL7789
750067,1662074460.0,,1662075888,,MWG3221 ,WBKL,,WBGR,,ATR 72 500,AT75,9M-MWD
750067,1662071334.0,,1662072711,,MWG3220 ,,,WBKL,,ATR 72 500,AT75,9M-MWD
750067,1662023287.0,,1662024466,,MWG3227 ,WBKL,,WBAK,,ATR 72 500,AT75,9M-MWD
750067,1662019295.0,,1662020489,,MWG3224 ,,,WBKL,,ATR 72 500,AT75,9M-MWD
750067,1662014976.0,,1662016269,,MWG3225 ,WBKL,,WBAK,,ATR 72 500,AT75,9M-MWD
750067,1662011926.0,,1662013198,,MWG3045 ,WBKK,,WBKL,,ATR 72 500,AT75,9M-MWD
750221,1662026374.0,,1662034371,,MAS2635 ,WBKL,,WMKK,,737NG 8H6/W,B738,9M-MXW
750221,1662003208.0,,1662022810,,MAS2634 ,,,WBKL,,737NG 8H6/W,B738,9M-MXW
750463,1662043861.0,,1662045862,,AXM379  ,,,WMKK,,,,
750463,1662023541.0,,1662025704,,AXM378  ,WMKK,,,,,,
750463,1662016484.0,,1662019223,,AXM712  ,,,WMKK,,,,
750463,1662007420.0,,1662009109,,AXM713  ,WMKK,,WSAG,,,,
750463,1661996502.0,,1662003516,,AXM273  ,WBSB,,WMKK,,,,
750463,1661991328.0,,1661993247,,AXM272  ,,,WBSB,,,,
7503db,1662053760.0,,1662066067,,MXD224  ,,,WMKK,,737NG 8GP/W,B738,9M-LNV
7503db,1662035481.0,,1662046225,,MXD223  ,,,,,737NG 8GP/W,B738,9M-LNV
7503db,1662008463.0,,1662020978,,MXD222  ,,,WMKK,,737NG 8GP/W,B738,9M-LNV
7503db,1661992863.0,,1662003837,,MXD221  ,,,,,737NG 8GP/W,B738,9M-LNV
758306,1662059400.0,,1662062148,,PAL522  ,,,RPLL,,A321 231SL,A321,RP-C9906
758306,1662037754.0,,1662039659,,PAL521  ,RPLL,,,,A321 231SL,A321,RP-C9906
758306,1662023381.0,,1662026394,,PAL1816 ,,,RPLL,,A321 231SL,A321,RP-C9906
758306,1662008940.0,,1662010619,,PAL1815 ,RPLL,,,,A321 231SL,A321,RP-C9906
758306,1662000508.0,,1662003687,,PAL1812 ,,,RPLL,,A321 231SL,A321,RP-C9906
7609a8,1662025251.0,,1662036723,,PIA726  ,OERK,,,,777 2Q8ER,B772,AP-BMH
7609a8,1662007545.0,,1662018698,,PIA725  ,,,,,777 2Q8ER,B772,AP-BMH
76b44b,1662008220.0,,1662011336,,SIA133  ,,,,,Boeing 737 MAX 8,B38M,9V-MBK
76b44b,1662000771.0,,1662003947,,SIA134  ,,,WMKP,,Boeing 737 MAX 8,B38M,9V-MBK
76cd10,1662013040.0,,1662015408,,SIA241  ,,,YSSY,,A359,A359,9V-SHP
800579,1662018611.0,,1662053112,,AIC983  ,,,OMDB,,A321 211,A321,VT-PPV
800579,1662011320.0,,1662012018,,AIC679  ,,,,,A321 211,A321,VT-PPV
800579,1662000540.0,,1662002608,,AIC582  ,,,,,A321 211,A321,VT-PPV
800579,1661993079.0,,1661994795,,AIC998  ,,,,,A321 211,A321,VT-PPV
800733,1662063518.0,,1662073929,,AIC996  ,OMDB,,VIDP,,787 8,B788,VT-ANM
800733,1662046001.0,,1662056422,,AIC995  ,VIDP,,OMDB,,787 8,B788,VT-ANM
800733,1662013807.0,,1662026669,,AIC333  ,VTBS,,VIDP,,787 8,B788,VT-ANM
800733,1661993363.0,,1662007288,,AIC332  ,VIDP,,VTBS,,787 8,B788,VT-ANM
8007cc,1662038332.0,,1662054615,,IGO6684 ,,,VIDP,,A320 232SL,A320,VT-IFP
8007cc,1662020197.0,,1662033382,,IGO6781 ,,,,,A320 232SL,A320,VT-IFP
8007cc,1662012905.0,,1662015287,,IGO6054 ,,,,,A320 232SL,A320,VT-IFP
801503,1662072400.0,,1662075980,,IGO158  ,,,VIDP,,,,
801503,1662049080.0,,1662051659,,IGO5321 ,,,,,,,
801503,1662031072.0,,1662045047,,IGO5347 ,,,,,,,
801503,1662021947.0,,1662024887,,IGO5384 ,,,,,,,
801503,1662010100.0,,1662012388,,IGO5308 ,,,,,,,
801503,1661999720.0,,1662001172,,IGO6445 ,VOBL,,,,,,
801503,1661991247.0,,1661994178,,IGO6422 ,,,VOBL,,,,
800cc7,1662053042.0,,1662057165,,AIC854  ,,,VIDP,,Airbus A320-251N,A20N,VT-EXN
800cc7,1662040432.0,,1662044696,,AIC853  ,VIDP,,,,Airbus A320-251N,A20N,VT-EXN
800cc7,1662026215.0,,1662028556,,AIC472  ,,,VIDP,,Airbus A320-251N,A20N,VT-EXN
800cc7,1662019480.0,,1662021108,,AIC471  ,VIDP,,,,Airbus A320-251N,A20N,VT-EXN
800cc7,1662010725.0,,1662015259,,AIC543  ,,,VIDP,,Airbus A320-251N,A20N,VT-EXN
800cc7,1661997170.0,,1662001337,,AIC560  ,VIDP,,,,Airbus A320-251N,A20N,VT-EXN
800da4,1662022410.0,,1662028919,,SEJ696  ,,,,,Boeing 737-8K9,B738,VT-SXB
800da4,1662010710.0,,1662016755,,SEJ695  ,,,,,Boeing 737-8K9,B738,VT-SXB
800da4,1661998364.0,,1662006077,,SEJ695  ,,,,,Boeing 737-8K9,B738,VT-SXB
841ff4,1662031624.0,,1662036127,,JAL526  ,,,RJTT,,A350-941,A359,JA08XJ
841ff4,1662022686.0,,1662026443,,JAL525  ,RJTT,,RJCC,,A350-941,A359,JA08XJ
841ff4,1662012579.0,,1662017488,,JAL514  ,RJCC,,RJTT,,A350-941,A359,JA08XJ
841ff4,1662004810.0,,1662008691,,JAL515  ,RJTT,,RJCJ,,A350-941,A359,JA08XJ
841ff4,1661994821.0,,1661999500,,JAL504  ,RJCC,,RJTT,,A350-941,A359,JA08XJ
846dc8,1662070806.0,,1662074357,,JJP103  ,RJAA,,,,A320 232SL,A320,JA15JJ
846dc8,1662034658.0,,1662038120,,JJP418  ,RJOT,,RJAA,,A320 232SL,A320,JA15JJ
846dc8,1662027604.0,,1662031875,,JJP419  ,RJAA,,RJOT,,A320 232SL,A320,JA15JJ
846dc8,1662016427.0,,1662020149,,JJP636  ,,,RJAA,,A320 232SL,A320,JA15JJ
846dc8,1662006071.0,,1662009627,,JJP635  ,,,,,A320 232SL,A320,JA15JJ
846dc8,1661997571.0,,1662001139,,JJP202  ,RJBB,,,,A320 232SL,A320,JA15JJ
846dc8,1661990404.0,,1661994144,,JJP201  ,,,RJBB,,A320 232SL,A320,JA15JJ
86808a,1662072820.0,,1662075671,,SKY140  ,,,RJBE,,Boeing 737-8AL,B738,JA73AC
86808a,1662029964.0,,1662032650,,SKY147  ,RJBE,,,,Boeing 737-8AL,B738,JA73AC
86808a,1662023910.0,,1662027074,,SKY113  ,RJTT,,RJBE,,Boeing 737-8AL,B738,JA73AC
86808a,1662013906.0,,1662018457,,SKY718  ,RJCC,,RJTT,,Boeing 737-8AL,B738,JA73AC
86808a,1662004620.0,,1662010677,,SKY173  ,RJBE,,RJCJ,,Boeing 737-8AL,B738,JA73AC
86808a,1661999305.0,,1662001372,,SKY592  ,,,RJBE,,Boeing 737-8AL,B738,JA73AC
884212,1662038191.0,,1662039486,,BKP172  ,,,VTBS,,A319 132,A319,HS-PPR
884212,1662029807.0,,1662030414,,BKP171  ,VTBS,,,,A319 132,A319,HS-PPR
884212,1662024210.0,,1662025096,,BKP146  ,,,VTBS,,A319 132,A319,HS-PPR
884212,1662006121.0,,1662007060,,BKP262  ,,,VTBS,,A319 132,A319,HS-PPR
884212,1661995972.0,,1661996829,,BKP261  ,VTBS,,,,A319 132,A319,HS-PPR
885103,1662051086.0,,1662068353,,THA656  ,VTBS,,RKSI,,A350 941,A359,HS-THC
885103,1661992600.0,,1662024509,,THA466  ,YMML,,VTBS,,A350 941,A359,HS-THC
885224,1662012907.0,,1662054658,,THA916  ,VTBS,,EGLL,,787 8,B788,HS-TQD
888139,1662057486.0,,1662066273,,HVN408  ,,,RKSI,,A350 941,A359,VN-A894
888139,1661999622.0,,1662007978,,HVN409  ,,,,,A350 941,A359,VN-A894
896114,1662062494.0,,1662065859,,UAE822  ,,,OMDB,,B777-36N(ER),B77W,A6-ECM
896114,1662051850.0,,1662054867,,UAE821  ,OMDB,,OERT,,B777-36N(ER),B77W,A6-ECM
896114,1662025795.0,,1662027068,,UAE659  ,,,OMDB,,B777-36N(ER),B77W,A6-ECM
896114,1661993283.0,,1661994488,,UAE658  ,OMDB,,,,B777-36N(ER),B77W,A6-ECM
896312,1662041775.0,,1662061105,,UAE71K  ,LKPR,,OMDB,,777 31HER,B77W,A6-ENP
896312,1662008231.0,,1662028236,,UAE5DC  ,OMDB,,LKPR,,777 31HER,B77W,A6-ENP
896356,1662030030.0,,1662044591,,ETD9807 ,VGZR,,OMAA,,Boeing 777 FFX,B77L,A6-DDB
896356,1662004550.0,,1662021281,,ETD9808 ,OMAA,,VGZR,,Boeing 777 FFX,B77L,A6-DDB
896477,1662044163.0,,1662061193,,UAE134  ,UUDD,,OMDB,,A380 842,A388,A6-EUM
896477,1662014735.0,,1662031535,,UAE133  ,OMDB,,UUDD,,A380 842,A388,A6-EUM
8963ab,1662040233.0,,1662044107,,ETD334  ,,,OMAA,,A321 231SL,A321,A6-AEC
8963ab,1662017371.0,,1662021593,,ETD333  ,OMAA,,,,A321 231SL,A321,A6-AEC
8963ab,1662002677.0,,1662007274,,ETD314  ,,,OMAA,,A321 231SL,A321,A6-AEC
896598,1662013788.0,,1662063967,,ETD93C  ,,,KORD,,A350-1041,A35K,A6-XWC
896598,1661990407.0,,1661999834,,ETD211  ,,,OMAA,,A350-1041,A35K,A6-XWC
8965ed,1662048271.0,,1662063525,,ABY511  ,VGTJ,,OMSJ,,,,
8965ed,1662027434.0,,1662043885,,ABY510  ,OMSJ,,VGZR,,,,
899029,1662032493.0,,1662034083,,MDA380  ,,,RCSS,,A320 232SL,A320,B-50011
899029,1662025825.0,,1662027157,,MDA379  ,RCSS,,,,A320 232SL,A320,B-50011
899029,1662019778.0,,1662021515,,MDA372  ,,,RCSS,,A320 232SL,A320,B-50011
899029,1662013663.0,,1662015311,,MDA371  ,RCSS,,RCQC,,A320 232SL,A320,B-50011
899029,1662007126.0,,1662008777,,MDA368  ,,,RCSS,,A320 232SL,A320,B-50011
899029,1662001145.0,,1662002585,,MDA367  ,RCSS,,RCQC,,A320 232SL,A320,B-50011
